solver,step,grid,cell,x,r
of_gamg,27,1,4,3.200930840632e-05,-3.094412171116e-05
of_gamg,27,1,5,-4.624012735632e-05,1.057052081815e-04
of_gamg,27,1,6,1.303054629514e-05,9.747403232422e-06
of_gamg,27,1,7,5.487238263593e-06,8.901469004574e-06
of_gamg,27,1,8,2.120349033073e-05,8.901469004574e-06
of_gamg,27,1,9,7.536892169353e-06,-6.776263578034e-21
of_gamg,28,1,0,-2.311030211163e-04,-8.101659500490e-05
of_gamg,28,1,1,-4.093026997552e-04,-2.209146969248e-05
of_gamg,28,1,2,-2.955718868592e-04,-6.769517208589e-06
of_gamg,28,1,3,-9.113179130848e-05,1.124308765894e-06
of_gamg,28,1,4,2.910302267711e-05,2.207191220875e-05
of_gamg,28,1,5,-3.610054700877e-05,6.429764482824e-06
of_gamg,28,1,6,1.534905277972e-05,2.830347172248e-06
of_gamg,28,1,7,6.611547029487e-06,5.817296404594e-07
of_gamg,28,1,8,2.299624184439e-05,5.817296404594e-07
of_gamg,28,1,9,8.118621809813e-06,0.000000000000e+00
of_gamg,29,0,0,8.743682110031e-01,-4.213603879855e-04
of_gamg,29,0,1,6.243418395143e-01,3.325444889020e-04
of_gamg,29,0,2,3.757663603711e-01,-2.992301337885e-04
of_gamg,29,0,3,1.257612770270e-01,-1.118670329908e-05
of_gamg,29,0,4,8.727096441101e-01,4.026319698465e-04
of_gamg,29,0,5,6.232234916577e-01,-5.203355121535e-04
of_gamg,29,0,6,3.768967344381e-01,1.886750475016e-04
of_gamg,29,0,7,1.272675610337e-01,-6.067173955071e-06
of_gamg,29,0,8,8.663591498597e-01,-2.852340413790e-04
of_gamg,29,0,9,6.184254130560e-01,3.637597118626e-04
of_gamg,29,0,10,3.815181997374e-01,-8.005650934217e-05
of_gamg,29,0,11,1.336737265294e-01,2.204552755070e-06
of_gamg,29,0,12,8.403754580912e-01,1.682559690990e-04
of_gamg,29,0,13,6.029645706812e-01,-1.448681156622e-04
of_gamg,29,0,14,3.969968684168e-01,1.140447324796e-04
of_gamg,29,0,15,1.595850764285e-01,1.302984032070e-05
of_gamg,29,0,16,7.327218258840e-01,-3.982216792675e-05
of_gamg,29,0,17,5.559156750451e-01,1.416928922775e-04
of_gamg,29,0,18,4.440336715524e-01,1.200273660507e-05
of_gamg,29,0,19,2.672678170369e-01,1.184575977375e-05
of_gamg,30,0,0,8.742628709061e-01,1.351931718721e-04
of_gamg,30,0,1,6.244175743116e-01,-1.707840305658e-04
of_gamg,30,0,2,3.756918619256e-01,-1.694853296486e-05
of_gamg,30,0,3,1.257398557398e-01,-4.603141383897e-06
of_gamg,30,0,4,8.727691024847e-01,-1.414407184326e-04
of_gamg,30,0,5,6.231272060726e-01,6.005250259178e-05
of_gamg,30,0,6,3.769012071923e-01,-9.604143071718e-06
of_gamg,30,0,7,1.272629578923e-01,-1.479918063152e-06
of_gamg,30,0,8,8.663139947264e-01,8.019991550468e-05
of_gamg,30,0,9,6.184809928044e-01,-2.116805172703e-05
of_gamg,30,0,10,3.815131987357e-01,2.173925212490e-05
of_gamg,30,0,11,1.336722466113e-01,6.953818489142e-06
of_gamg,30,0,12,8.404000782583e-01,-1.870071683596e-05
of_gamg,30,0,13,6.029484036311e-01,4.781760527650e-05
of_gamg,30,0,14,3.970200875869e-01,1.891788686526e-05
of_gamg,30,0,15,1.595920302470e-01,5.127274439798e-06
of_gamg,30,0,16,7.327192922172e-01,2.459843508884e-05
of_gamg,30,0,17,5.559402734802e-01,1.196406837600e-05
of_gamg,30,0,18,4.440456356208e-01,5.127274439687e-06
of_gamg,30,0,19,2.672729443113e-01,1.110223024625e-16
of_gamg,31,0,0,8.742966691991e-01,-6.719039762526e-05
of_gamg,31,0,1,6.243719123991e-01,-2.265462225726e-05
of_gamg,31,0,2,3.756709917771e-01,-1.443301380311e-05
of_gamg,31,0,3,1.257334874173e-01,-3.182586373329e-06
of_gamg,31,0,4,8.727475739996e-01,9.949812323384e-06
of_gamg,31,0,5,6.231254215989e-01,-1.086925118332e-05
of_gamg,31,0,6,3.768931425010e-01,-4.650861377131e-07
of_gamg,31,0,7,1.272597753059e-01,1.297746470230e-06
of_gamg,31,0,8,8.663257290125e-01,-4.197846002363e-06
of_gamg,31,0,9,6.184781882445e-01,1.362244005398e-05
of_gamg,31,0,10,3.815159162359e-01,9.432828200095e-06
of_gamg,31,0,11,1.336735443578e-01,2.912020528101e-06
of_gamg,31,0,12,8.403986849722e-01,1.477246464221e-05
of_gamg,31,0,13,6.029593085710e-01,1.348238833354e-05
of_gamg,31,0,14,3.970282226687e-01,6.633953082757e-06
of_gamg,31,0,15,1.595949422676e-01,1.105658846978e-06
of_gamg,31,0,16,7.327231597421e-01,5.347306603731e-06
of_gamg,31,0,17,5.559456207868e-01,3.721932554601e-06
of_gamg,31,0,18,4.440493575533e-01,1.105658846923e-06
of_gamg,31,0,19,2.672740499702e-01,3.330669073875e-16
of_gamg,32,0,0,8.742966691991e-01,-6.719039762526e-05
of_gamg,32,0,1,6.243719123991e-01,-2.265462225726e-05
