solver,grid,row,col,value
brae,0,14,18,-1.000000000000e+00
brae,0,15,11,-1.000000000000e+00
brae,0,15,14,-1.000000000000e+00
brae,0,15,15,5.000000000000e+00
brae,0,15,19,-1.000000000000e+00
brae,0,16,12,-1.000000000000e+00
brae,0,16,16,6.000000000000e+00
brae,0,16,17,-1.000000000000e+00
brae,0,17,13,-1.000000000000e+00
brae,0,17,16,-1.000000000000e+00
brae,0,17,17,5.000000000000e+00
brae,0,17,18,-1.000000000000e+00
brae,0,18,14,-1.000000000000e+00
brae,0,18,17,-1.000000000000e+00
brae,0,18,18,5.000000000000e+00
brae,0,18,19,-1.000000000000e+00
brae,0,19,15,-1.000000000000e+00
brae,0,19,18,-1.000000000000e+00
brae,0,19,19,6.000000000000e+00
brae,1,0,0,5.000000000000e+00
brae,1,0,1,-1.000000000000e+00
brae,1,0,2,-2.000000000000e+00
brae,1,1,0,-1.000000000000e+00
brae,1,1,1,5.000000000000e+00
brae,1,1,3,-2.000000000000e+00
brae,1,2,0,-2.000000000000e+00
brae,1,2,2,7.000000000000e+00
brae,1,2,3,-1.000000000000e+00
brae,1,2,4,-2.000000000000e+00
brae,1,3,1,-2.000000000000e+00
brae,1,3,2,-1.000000000000e+00
brae,1,3,3,7.000000000000e+00
brae,1,3,5,-2.000000000000e+00
brae,1,4,2,-2.000000000000e+00
brae,1,4,4,7.000000000000e+00
brae,1,4,5,-1.000000000000e+00
brae,1,4,6,-2.000000000000e+00
brae,1,5,3,-2.000000000000e+00
brae,1,5,4,-1.000000000000e+00
brae,1,5,5,7.000000000000e+00
brae,1,5,7,-2.000000000000e+00
brae,1,6,4,-2.000000000000e+00
brae,1,6,6,7.000000000000e+00
brae,1,6,7,-1.000000000000e+00
brae,1,6,8,-2.000000000000e+00
brae,1,7,5,-2.000000000000e+00
brae,1,7,6,-1.000000000000e+00
brae,1,7,7,7.000000000000e+00
brae,1,7,9,-2.000000000000e+00
brae,1,8,6,-2.000000000000e+00
brae,1,8,8,9.000000000000e+00
brae,1,8,9,-1.000000000000e+00
brae,1,9,7,-2.000000000000e+00
brae,1,9,8,-1.000000000000e+00
brae,1,9,9,9.000000000000e+00
brae,2,0,0,8.000000000000e+00
brae,2,0,1,-2.000000000000e+00
brae,2,0,2,-2.000000000000e+00
brae,2,1,0,-2.000000000000e+00
brae,2,1,1,8.000000000000e+00
brae,2,1,3,-2.000000000000e+00
brae,2,2,0,-2.000000000000e+00
brae,2,2,2,1.000000000000e+01
brae,2,2,3,-2.000000000000e+00
brae,2,2,4,-2.000000000000e+00
brae,2,3,1,-2.000000000000e+00
brae,2,3,2,-2.000000000000e+00
brae,2,3,3,1.000000000000e+01
brae,2,3,4,-2.000000000000e+00
brae,2,4,2,-2.000000000000e+00
brae,2,4,3,-2.000000000000e+00
brae,2,4,4,1.600000000000e+01
brae,3,0,0,1.200000000000e+01
brae,3,0,1,-4.000000000000e+00
brae,3,1,0,-4.000000000000e+00
brae,3,1,1,2.400000000000e+01
